index,question,sentence
3678,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California."
2904,What did the Shah do when faced with defeat by Genghis Khan's forces?,"Genghis Khan ordered Subutai and Jebe to hunt him down, giving them 20,000 men and two years to do this."
1512,What is the Canal in Wesel?,"In Wesel, 30 km downstream of Duisburg, is located the western end of the second east-west shipping route, the Wesel-Datteln Canal, which runs parallel to the Lippe."
301,How many casualties did British get?,It was attacked by French and Indian soldiers ambushing them from up in trees and behind logs.
2405,Where did most chloroplasts come from?,"While most chloroplasts originate from that first set of endosymbiotic events, Paulinella chromatophora is an exception that acquired a photosynthetic cyanobacterial endosymbiont more recently."
3039,What did the engineers fear would be difficult in space due to it never being attempted in Earth orbit?,"Bypassing the NASA hierarchy, he sent a series of memos and reports on the issue to Associate Administrator Robert Seamans; while acknowledging that he spoke ""somewhat as a voice in the wilderness,"" Houbolt pleaded that LOR should not be discounted in studies of the question."
2073,Where in Warsaw are patriotic and political objects connected with Poland's struggles for Independence found?,The Museum of Independence preserves patriotic and political objects connected with Poland's struggles for independence.
1381,The V&A's youth outreach programme was a hallmark of whose directorship?,This innovative approach to bringing young people to museums was a hallmark of the directorship of Roy Strong and was subsequently emulated by some other British museums.
4689,How many years does the V&A's collections span?,"Overall, it is one of the largest museums in the world."
4915,What surrounds Plastoglobuli?,They are surrounded by a lipid monolayer.
3693,What are the three largest urban areas in Kenya?,"Although Kenya is the most industrially developed country in the African Great Lakes region, manufacturing still accounts for only 14% of the GDP."
4836,How did Luther say that reason contributes to faith?,Some scholars have asserted that Luther taught that faith and reason were antithetical in the sense that questions of faith could not be illuminated by reason.
2638,What are the exchanged particles predicted by the standard Model?,"With modern insights into quantum mechanics and technology that can accelerate particles close to the speed of light, particle physics has devised a Standard Model to describe forces between particles smaller than atoms."
3742,How many days after Gagarin's flight did the US House Committee on Science and Astronautics meet?,"At a meeting of the US House Committee on Science and Astronautics one day after Gagarin's flight, many congressmen pledged their support for a crash program aimed at ensuring that America would catch up."
387,What profession does Simon Kuznets have?,"As a country develops, it acquires more capital, which leads to the owners of this capital having more wealth and income and introducing inequality."
5392,What do closed rivers serve as after they close?,"Many rivers have been closed (""dammed"") and now serve as drainage channels for the numerous polders."
2786,How much did Capital Cities/ABC report in revenues in 1990?,Capital Cities/ABC reported revenues of $465 million.
3110,What did Pegasus satellites measure to propose the safety of the environment in space and on the moon?,"The first four Saturn I test flights were launched from LC-34, with only live first stages, carrying dummy upper stages filled with water."
4964,Who was the first European to travel the Amazon River?,"The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta."
4172,What makes the method of trial division more efficient?,This routine can be implemented more efficiently if a complete list of primes up to  is known—then trial divisions need to be checked only for those m that are prime.
3848,What kind of people attend the IPCC meetings?,Attendance at the 2003 meeting included 350 government officials and climate change experts.
1881,Why did French feel they had right to Ohio claim?,"He told Washington that France's claim to the region was superior to that of the British, since René-Robert Cavelier, Sieur de La Salle had explored the Ohio Country nearly a century earlier."
604,What did did article 34 discriminate against in Procureur du Roi v Dassonville?,"It discriminated against parallel importers like Mr Dassonville, who could not get certificates from authorities in France, where they bought the Scotch."
3697,How many women were employed in construction in 2011?,"In the United States, approximately 828,000 women were employed in the construction industry as of 2011."
3052,Which shaman's proclamation aided Temüjin's rise?,"Due to his earlier defeat of the Merkits, and a proclamation by the shaman Kokochu that the Eternal Blue Sky had set aside the world for Temüjin, Temüjin began rising to power."
1103,How many NFL teams have finished the regular season with one loss?,"The Carolina Panthers became one of only ten teams to have completed a regular season with only one loss, and one of only six teams to have acquired a 15–1 record, while the Denver Broncos became one of four teams to have made eight appearances in the Super Bowl."
3440,What is the name of the desert near the border of Nevada?,"To the east is the Colorado Desert and the Colorado River at the border with Arizona, and the Mojave Desert at the border with the state of Nevada."
778,When was the British Nationality Act passed?,"Specifically, members must be over the age of 18 and must be a citizen of the United Kingdom, the Republic of Ireland, one of the countries in the Commonwealth of Nations, a citizen of a British overseas territory, or a European Union citizen resident in the UK."
4555,What type of civil war was fought between political and tribal warlords?,"In Afghanistan, the mujahideen's victory against the Soviet Union in the 1980s did not lead to justice and prosperity, due to a vicious and destructive civil war between political and tribal warlords, making Afghanistan one of the poorest countries on earth."
5053,What types of scientists looks for signs of magnetic reversals in igneous rocks within the drill cores?,"In the laboratory, biostratigraphers analyze rock samples from outcrop and drill cores for the fossils found in them."
3164,What planet do the Daleks come from?,"Their chief role in the series plot, as they frequently remark in their instantly recognisable metallic voices, is to ""exterminate"" all non-Dalek beings."
1668,Who was the leader of the Islamist regime in Sudan?,His National Islamic Front first gained influence when strongman General Gaafar al-Nimeiry invited members to serve in his government in 1979.
5432,What did a greedy merchant do to the mermaid?,A greedy merchant also heard her songs; he followed the fishermen and captured the mermaid.
3001,What does the ctenophora use to swim?,Their most distinctive feature is the ‘combs’ – groups of cilia which they use for swimming – they are the largest animals that swim by means of cilia.
2732,What is petrology?,"Geologists use a number of field, laboratory, and numerical modeling methods to decipher Earth history and understand the processes that occur on and inside the Earth."
2527,"In 2013-14, NBC finished behind what network in the ratings?","NBC, which had lagged behind ABC for eight years, finished the season in first place in the 18–49 demographic for the first time since 2004, and in second place in total viewership behind long-dominant CBS."
286,What are malum prohibitum considerations?,"Other legal requirements come from malum prohibitum considerations, or things that are a matter of custom or expectation, such as isolating businesses to a business district and residences to a residential district."
1664,What type of immune systems are found in all plants and animals?,"This improved response is then retained after the pathogen has been eliminated, in the form of an immunological memory, and allows the adaptive immune system to mount faster and stronger attacks each time this pathogen is encountered."
225,What is the usual source of heat for boiling water in the steam engine?,"In the case of model or toy steam engines, the heat source can be an electric heating element."
2714,Which French kind issued this declaration?,Renewed religious warfare in the 1620s caused the political and military privileges of the Huguenots to be abolished following their defeat.
3480,What did a survey of North American Lutherans find that Lutherans felt about Jews compared to other minority groups?,"Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans."
317,Which town's massacre did Genghis Khan order in retribution for the treatment of his envoys?,"The Mongol army quickly seized the town of Otrar, relying on superior strategy and tactics."
2220,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,"The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine."
99,What lineage is Karenia in?,"The fucoxanthin dinophyte lineages (including Karlodinium and Karenia) lost their original red algal derived chloroplast, and replaced it with a new chloroplast derived from a haptophyte endosymbiont."
3055,What did John Dobson describe Newcastle as?,"Broadcaster and writer Stuart Maconie described Newcastle as England's best-looking city and the late German-born British scholar of architecture, Nikolaus Pevsner, describes Grey Street as one of the finest streets in England."
2876,What happened to his ribs in the accident?,Tesla's back was severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctor—an almost lifelong custom).
5438,Of what nationality was Martin Luther?,Luther came to reject several teachings and practices of the Late Medieval Catholic Church.
3185,What kind of disorders are the result of an overactive immune response?,"Overactive immune responses comprise the other end of immune dysfunction, particularly the autoimmune disorders."
840,When was the Methodist Episcopal Church founded?,"At this time, Methodists had not yet broken away from the Anglican Church and the Methodist Episcopal Church was not founded until 1784."
407,"Along with electric motors, what power sources overtook steam engines in the 20th century?","Steam engines remained the dominant source of power until the early 20th century, when advances in the design of electric motors and internal combustion engines gradually resulted in the replacement of reciprocating (piston) steam engines, with shipping in the 20th-century relying upon the steam turbine."
1292,What is the name of the bridge that joins parts of the campus of the Charles River?,"The Harvard Business School and many of the university's athletics facilities, including Harvard Stadium, are located on a 358-acre (145 ha) campus opposite the Cambridge campus in Allston."
2990,Do adults or juveniles secretions luminesce brighter?,"Juveniles will luminesce more brightly in relation to their body size than adults, whose luminescence is diffused over their bodies."
383,What is the upper range of annual fees for non-boarding students in British public schools?,"Fees range from under £3,000 to £21,000 and above per year for day pupils, rising to £27,000+ per year for boarders."
5042,When was a part of Grainger Town destroyed?,The street curves down from Grey's Monument towards the valley of the River Tyne and was voted England's finest street in 2005 in a survey of BBC Radio 4 listeners.
4636,What was Warner Sinback,"In 1965, at the instigation of Warner Sinback, a data network based on this voice-phone network was designed to connect GE's four computer sales and service centers (Schenectady, Phoenix, Chicago, and Phoenix) to facilitate a computer time-sharing service, apparently the world's first commercial online service."
5303,How can the deposition of compliment kill invader cells directly?,This deposition of complement can also kill cells directly by disrupting their plasma membrane.
5430,What network is Newcastle a member of?,"Newcastle was part of the county of Northumberland until 1400, when it became a county itself, a status it retained until becoming part of Tyne and Wear in 1974.[not in citation given]"
4196,Who was the first chair of the IPCC?,"The previous chairs were Rajendra K. Pachauri, elected in May 2002; Robert Watson in 1997; and Bert Bolin in 1988."
1463,How large are Chloroplast ribosomes?,Chloroplast ribosomes are about two-thirds the size of cytoplasmic ribosomes (around 17 nm vs 25 nm).
1877,What constitutional change was considered?,A constitutional change was considered that would eliminate the position of Prime Minister and simultaneously reduce the powers of the President.
2383,In what year did Harvard Stadium become the first ever concrete reinforced stadium in the country?,"In 1903, Harvard Stadium introduced a new era into football with the first-ever permanent reinforced concrete stadium of its kind in the country."
4218,What do red algal chloroplasts have that green chloroplasts don't?,"Most green chloroplasts are (obviously) green, though some aren't, like some forms of Hæmatococcus pluvialis, due to accessory pigments that override the chlorophylls' green colors."
4792,Where do transport vesicles move between?,Its purpose is thought to be to increase the chloroplast's surface area for cross-membrane transport between its stroma and the cell cytoplasm.
3392,What typically involves mass production of similar items without a designated purchaser?,"Construction differs from manufacturing in that manufacturing typically involves mass production of similar items without a designated purchaser, while construction typically takes place on location for a known client."
382,The price of oil is usually a stable commodity until when?,The substantial price increases of 1973–1974 largely returned their prices and corresponding incomes to Bretton Woods levels in terms of commodities such as gold.
3096,When was Mueller announced and appointed as Deputy Associate Administrator?,"On July 23, 1963, Webb announced Mueller's appointment as Deputy Associate Administrator for Manned Space Flight, to replace then Associate Administrator D. Brainerd Holmes on his retirement effective September 1."
808,What's the nickname for Newcastle's A167?,"Major roads in the area include the A1 (Gateshead Newcastle Western Bypass), stretching north to Edinburgh and south to London; the A19 heading south past Sunderland and Middlesbrough to York and Doncaster; the A69 heading west to Carlisle; the A696, which becomes the A68 heads past Newcastle Airport and up through central Northumberland and central Scottish Borders, the A167, the old ""Great North Road"", heading south to Gateshead, Chester-le-Street, Durham and Darlington; and the A1058 ""Coast Road"", which runs from Jesmond to the east coast between Tynemouth and Cullercoats."
2057,What were the conditions for miners in the gold fields in Victoria?,"Many Chinese miners worked in Victoria, and their legacy is particularly strong in Bendigo and its environs."
1568,What is most of the cleared land in the Amazon region used for?,"New research however, conducted by Leydimere Oliveira et al., has shown that the more rainforest is logged in the Amazon, the less precipitation reaches the area and so the lower the yield per hectare becomes."
3530,What is a lower rate of social goods an effect of?,"For the top 21 industrialised countries, counting each person equally, life expectancy is lower in more unequal countries (r = -.907)."
190,What one point was not agreed on that was dear to Luther?,"Agreement was achieved on fourteen points out of fifteen, the exception being the nature of the Eucharist – the sacrament of the Lord's Supper—an issue crucial to Luther."
2569,How many French colonists were gained by British?,"Britain gained control of French Canada and Acadia, colonies containing approximately 80,000 primarily French-speaking Roman Catholic residents."
1070,Who was Emma's brother?,"This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England."
5243,What else was used by pharmas?,The pharmas also used many other herbs not listed.
5236,"In an atmospheric engine, what does air pressure push against?",The engine cylinders had to be large because the only usable force acting on them was due to atmospheric pressure.
1975,What does corporal punishment cause a student?,"Most Western countries, and some others, have now banned it, but it remains lawful in the United States following a US Supreme Court decision in 1977 which held that paddling did not violate the US Constitution."
3846,On what did Tesla blame for the loss of the initial money?,Morgan was shocked by the reminder of his part in the stock market crash and by Tesla's breach of contract by asking for more funds.
1507,"Other than the San Jacinto Fault, and the Elsinore Fault, name one other fault.","Many faults are able to produce a magnitude 6.7+ earthquake, such as the San Andreas Fault, which can produce a magnitude 8.0 event."
5190,What is the Victoria state bird?,"The state symbols include the pink heath (state flower), Leadbeater's possum (state animal) and the helmeted honeyeater (state bird)."
5291,How much time was left in the quarter when Stewart got the touchdown?,"Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter."
4912,How many cameras did EyeVision 360 utilize?,"CBS introduced new features during the telecast, including pylon cameras and microphones along with EyeVision 360—an array of 36 cameras along the upper deck that can be used to provide a 360-degree view of plays and ""bullet time"" effects."
488,how long did Tesla spend redesigning the motor and generators?,Tesla was offered the task of completely redesigning the Edison Company's direct current generators.
3108,What tribes were the Romans fearful would invade from the North?,"The course of the ""Roman Wall"" can be traced eastwards to the Segedunum Roman fort in Wallsend—the ""wall's end""—and to the supply fort Arbeia in South Shields."
1622,When did ABC announce the restructure of ABC radio?,"On October 19, 2005, ABC announced the restructuring of the group into six divisions: Entertainment Communications, Communications Resources, Kids Communications, News Communications, Corporate Communications, and International Communications."
5033,"In the article's title, what did the machine hope to end?","For example, in his article, ""A Machine to End War"", published in 1937, Tesla stated:"
2142,Who is the play-by-play announcer for the game?,Jim Gray will anchor the pre-game and halftime coverage.
8,What was one of Luther's most personal writings?,"It remains in use today, along with Luther's hymns and his translation of the Bible."
3688,Which linebacker had the most sacks on the team?,"Pro Bowl linebacker Von Miller led the team with 11 sacks, forced four fumbles, and recovered three."
2003,What happens if angiosperm shoots don't get enough light?,"If angiosperm shoots are not exposed to the required light for chloroplast formation, proplastids may develop into an etioplast stage before becoming chloroplasts."
3550,"What compounds are released by injured or infected cells, triggering inflammation?",These cytokines and other chemicals recruit immune cells to the site of infection and promote healing of any damaged tissue following the removal of pathogens.
4150,Has there ever been anyone charged with importing drugs from Canada for personal medicinal use?,"In the United States, there has been a push to legalize importation of medications from Canada and other countries, in order to reduce consumer costs."
5373,"When was the paper published that the ""Millennial Northern Hemisphere temperature reconstruction"" graph was based on?","This graph extended the similar graph in Figure 3.20 from the IPCC Second Assessment Report of 1995, and differed from a schematic in the first assessment report that lacked temperature units, but appeared to depict larger global temperature variations over the past 1000 years, and higher temperatures during the Medieval Warm Period than the mid 20th century."
991,In what year did ABC stylize it's logo as abc?,"The American Broadcasting Company (ABC) (stylized in its logo as abc since 1957) is an American commercial broadcast television network that is owned by the Disney–ABC Television Group, a subsidiary of Disney Media Networks division of The Walt Disney Company."
953,What type of studies explored student motivation?,Recent research has found a correlation between teacher enthusiasm and students' intrinsic motivation to learn and vitality in the classroom.
180,What is the least number of members a board of trustees can have?,The church conference is an annual meeting of all the officers of the church and any interested members.
2313,When did Luther write an extreme treatise against the Jews?,His 1543 treatise Von den Juden und
5044,What is the process in which neutrophils move towards the site of inflammation called?,"Macrophages also act as scavengers, ridding the body of worn-out cells and other debris, and as antigen-presenting cells that activate the adaptive immune system."
2681,What did the Rhine branch off to form in Austria?,"The delta is delimited in the West by the Alter Rhein (""Old Rhine"") and in the East by a modern canalized section."
1086,What is set aside for question periods in the debating chamber?,Parliamentary time is also set aside for question periods in the debating chamber.
344,Why did the exiled Polish government in London order the underground Home Army to seize control of Warsaw prior to the arrival of the Red Army?,"Knowing that Stalin was hostile to the idea of an independent Poland,"
4054,What had the Yuan used to print its money before bronze plates?,"One of the more notable applications of printing technology was the chao, the paper money of the Yuan."
3509,Who received the pass that was ruled incomplete and confirmed after a challenge?,CBS analyst and retired referee Mike Carey stated he disagreed with the call and felt the review clearly showed the pass was complete.
4808,What is a descriptive term for a low-to-high energy bond?,"The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two."
4763,What did Dalton think the atomic ratios were between atoms in compounds?,John Dalton's original atomic hypothesis assumed that all elements were monatomic and that the atoms in compounds would normally have the simplest atomic ratios with respect to one another.
27,How many square kilometers is the Amazon Basin?,"Forêt amazonienne; Dutch: Amazoneregenwoud), also known in English as Amazonia or the Amazon Jungle, is a moist broadleaf forest that covers most of the Amazon basin of South America."
4516,What does the word prime generally suggest?,"Often a second, additional meaning is intended by using the word prime, namely that any object can be, essentially uniquely, decomposed into its prime components."
1640,What type of process was involved the the depletion of the Sun's oxygen 16?,Analysis of a silicon wafer exposed to the solar wind in space and returned by the crashed Genesis spacecraft has shown that the Sun has a higher proportion of oxygen-16 than does the Earth.
1423,Where did Harold II die?,"In 1066, Duke William II of Normandy conquered England killing King Harold II at the Battle of Hastings."
3510,Going to jail accomplished what goal of civil disobedience?,"Howard Zinn writes, ""There may be many times when protesters choose to go to jail, as a way of continuing their protest, as a way of reminding their countrymen of injustice."
221,Who warned of the potential impact?,"The governments of the United States, Britain, Germany and France also collectively issued a press statement cautioning about the law's potential impact."
2937,The success of pathogens is predicated on their ability to do what?,"Therefore, pathogens evolved several methods that allow them to successfully infect a host, while evading detection or destruction by the immune system."
1280,When was BSkyB's digital service launched?,"now called Sky Active, BSkyB competed with the ONdigital (later ITV Digital) terrestrial offering and cable services."
4378,"Compared to Smeaton's improvement on Newcomen's engine, how much coal did Watt's engine use?","The next major step occurred when James Watt developed (1763–1775) an improved version of Newcomen's engine, with a separate condenser."
3450,How much of Australia's milk is produced in Victoria?,"It is home to 60% of Australia's 3 million dairy cattle and produces nearly two-thirds of the nation's milk, almost 6.4 billion litres."
5211,When was 7 Lincoln Square completed?,"The company first constructed a new 10-story building on land previously occupied by an abandoned warehouse on the corner of Columbus Avenue and West 66th Street; the facility that was built in its place is nicknamed ""7 Lincoln Square"" (although it is actually located at 149 Columbus Avenue)."
798,How many photosynthetic carotenoids are there?,There are about thirty photosynthetic carotenoids.
3395,What is the KNLS responsible for?,"A public library is seen as a peoples university since it is open to all irrespective of age, literacy level and has materials relevant to people of all walks of life."
5129,Different committees have what set out in different ways?,There are different committees with their functions set out in different ways.
5320,What time do they normally have tea?,"Kenyans generally have three meals in a day – breakfast in the morning (kiamsha kinywa), lunch in the afternoon (chakula cha mchana) and supper in the evening (chakula cha jioni or known simply as ""chajio"")."
1684,Where does the Amazon region rate among the entire earth for its amount of biodiversity?,"To date, an estimated 438,000 species of plants of economic and social interest have been registered in the region with many more remaining to be discovered or catalogued."
2783,What year was North America's first printing press started?,"It was initially called ""New College"" or ""the college at New Towne""."
2180,How do both chloroplast membranes compare to cyanobacterium's original double membranes?,This is often interpreted as meaning the outer chloroplast membrane is the product of the host's cell membrane infolding to form a vesicle to surround the ancestral cyanobacterium—which is not true—both chloroplast membranes are homologous to the cyanobacterium's original double membranes.
2072,What was given as the cause of death?,Assistant medical examiner H.W. Wembly examined the body and ruled that the cause of death had been coronary thrombosis.
4554,What skin-related symptom appears from the pneumonic plague?,"In cases of pneumonic and particularly septicemic plague, the progress of the disease is so rapid that there would often be no time for the development of the enlarged lymph nodes that were noted as buboes."
3976,Who thought that applied force caused movement of an object regardless of non-zero velocity?,Aristotle misinterpreted this motion as being caused by the applied force.
3621,What was Konstantin Mereschkowski's career?,"Mitochondria are thought to have come from a similar event, where an aerobic prokaryote was engulfed."
281,What year was the only film version of Doctor Who shown?,"This is similar to the 1988 continuation of Mission Impossible, but differs from most other series relaunches which have either been reboots (for example, Battlestar Galactica and Bionic Woman[citation needed]) or set in the same universe as the original but in a different time period and with different characters (for example, Star Trek:"
2433,How do chloroplasts reproduce?,"Chloroplasts are highly dynamic—they circulate and are moved around within plant cells, and occasionally pinch in two to reproduce."
2524,What was Ban Ki-Moon the Secretary General of?,"In the words of the Secretary General of the United Nations Ban Ki-Moon: ""While economic growth is necessary, it is not sufficient for progress on reducing poverty."""
2618,Who founded the UMC?,"As such, the church's theological orientation is decidedly Wesleyan."
833,What program did Red Cross put together in 2011?,This was last seen in August and September 2011 prompting the Kenyans for Kenya initiative by the Red Cross.
4539,What is the largest stadium in Australia?,"The Melbourne Cricket Ground is the largest stadium in Australia, and the host of the 1956 Summer Olympics and the 2006 Commonwealth Games."
3597,What do etioplasts have instead of chlorophyll?,"While etioplasts lack chlorophyll, they have a yellow chlorophyll precursor stocked."
4774,What was the Harvard endowment total in 2011?,Harvard has the largest university endowment in the world.
4246,"During the Bronco's playoff games, who did not throw at all?","Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games."
1378,What does Salafism in its harshest form encourage its followers to view the religion of others with?,"In its harshest form it preached that Muslims should not only ""always oppose"" infidels ""in every way,"" but ""hate them for their religion ... for Allah's sake,"" that democracy ""is responsible for all the horrible wars of the 20th century,"" that Shia and other non-Wahhabi Muslims were infidels, etc."
571,What did Luther believe that the soul does after death?,"In contrast to the views of John Calvin and Philipp Melanchthon, throughout his life Luther maintained that it was not false doctrine to believe that a Christian's soul sleeps after it is separated from the body in death; and, accordingly, he disputed traditional interpretations of some Bible passages, such as the parable of the rich man and Lazarus."
4360,What was the percentage of Germans attending private high schools in 2008?,"The right to create private schools in Germany is in Article 7, Paragraph 4 of the Grundgesetz and cannot be suspended even in a state of emergency."
4563,What is the common term for the loss of key members of French society to Huguenot emigration?,"The French crown's refusal to allow non-Catholics to settle in New France may help to explain that colony's slow rate of population growth compared to that of the neighbouring British colonies, which opened settlement to religious dissenters."
573,What is the hymn known as in English?,"This behavior started with his learning of the execution of Johann Esch and Heinrich Voes, the first individuals to be martyred by the Roman Catholic Church for Lutheran views, prompting Luther to write the hymn """
3390,How many of the schools in Newcastle are independent?,There are eleven LEA-funded 11 to 18 schools and seven independent schools with sixth forms in Newcastle.
2079,How many solo tackles did Von Miller make at Super Bowl 50?,"Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles."
589,How much oxygen is found is a liter of fresh water under normal conditions?,Oxygen is more soluble in water than nitrogen is.
3443,Photosynthesis uses which energy to for oxygen from water?,"Another form (allotrope) of oxygen, ozone (O_3), strongly absorbs UVB radiation and consequently the high-altitude ozone layer helps protect the biosphere from ultraviolet radiation, but is a pollutant near the surface where it is a by-product of smog."
4200,"After cancelling the show, what did the BBC tell the public?","Falling viewing numbers, a decline in the public perception of the show and a less-prominent transmission slot saw production suspended in 1989 by Jonathan Powell, controller of BBC 1."
2271,How may yards did Peyton Manning throw?,"Running back C. J. Anderson was the team's leading rusher 863 yards and seven touchdowns, while also catching 25 passes for 183 yards."
4784,In what century did missionaries notably establish church schools in South Africa?,"After the abolition of apartheid, the laws governing private education in South Africa changed significantly."
603,A strike by what entity resulted in a halt to production for network programs in the 2007-2008 season?,"The program would become a minor success for the network during its initial six-episode run, which led ABC to renew Duel as a regular series starting in April 2008."
4517,At what rank does GPS per capita set Victoria?,"The ground is also considered the ""spiritual home"" of Australian cricket and Australian rules football, and hosts the grand final of the Australian Football League (AFL) each year, usually drawing crowds of over 95,000 people."
693,How many points did the Broncos score in the final three minutes of the Pittsburgh game?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game."
4791,What car is licensed by the FSO Car Factory and built in Egypt?,"In 2005 the factory was sold to AvtoZAZ, a Ukrainian car manufacturer which assembled there the Chevrolet Aveo."
1670,What provided much of the basis for the structure of the Parliament in 1995?,"Publishing its blueprint for devolution in 1995, the Convention provided much of the basis for the structure of the Parliament."
1041,The Skylab had what type of equipment onboard that was supposed to be used in a different mission?,"It was equipped with an Apollo Telescope Mount, the solar telescope that would have been used on the Apollo Telescope Missions."
1151,What term did he use for what he believed would be humanity's future rulers?,"In 1926, Tesla commented on the ills of the social subservience of women and the struggle of women toward gender equality, and indicated that humanity's future would be run by ""Queen Bees."""
5140,Which of Genghis Khan's mentors practiced Christianity?,"The Mongol Empire practiced religious tolerance because Mongol tradition had long held that religion was a personal concept, and not subject to law or interference.[citation needed]"
4143,When did the term imperialism first come to be used by its current definition?,"The term ""Imperialism"" was originally introduced into English in its present sense in the late 1870s by opponents of the allegedly aggressive and ostentatious imperial policies of British prime Minister Benjamin Disraeli."
2060,A replica of what landmark was present at Super Bowl Opening Night?,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night."
4064,What was the name of the storm that hit Jacksonville in May of 2012?,"On May 28, 2012, Jacksonville was hit by Tropical Storm Beryl, packing winds up to 70 miles per hour (113 km/h) which made landfall near Jacksonville Beach."
1431,Who constructed Newcastle's station?,"It has a neoclassical façade, originally designed by the architect John Dobson, and was constructed in collaboration with Robert Stephenson."
875,How long after a banquet with Tugh Temur did Kusala die?,"However, he was mainly a puppet of the powerful official El Temür during his latter three-year reign."
2200,What type of issues are members typically allowed to vote as they please?,"MSPs do not tend to vote against such instructions, since those who do are unlikely to reach higher political ranks in their parties."
5161,What was the final score of Super Bowl 50?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."
1161,Kurt H. Debus was appointed what position for the Launch Operations Center?,Debus was named the LOC's first Director.
2077,What was NewcastleGateshead voted in 2006?,"It has hosted a season of performances from the Royal Shakespeare Company for over 25 years, as well as touring productions of West End musicals."
2851,What are one of the key cell types of the adaptive immune system?,"They are named for their resemblance to neuronal dendrites, as both have many spine-like projections, but dendritic cells are in no way connected to the nervous system."
3099,How much did the population of Victoria increase in ten years after the discovery of gold?,"In ten years the population of Victoria increased sevenfold from 76,000 to 540,000."
4171,Which Pope sought to undermine Luther's theories?,"Pope Leo X was used to reformers and heretics, and he responded slowly, ""with great care as is proper."""
2840,Where do Ctenophora live?,"Ctenophora (/tᵻˈnɒfərə/; singular ctenophore, /ˈtɛnəfɔːr/ or /ˈtiːnəfɔːr/; from the Greek κτείς kteis 'comb' and φέρω pherō 'carry'; commonly known as comb jellies) is a phylum of animals that live in marine waters worldwide."
1356,When did Mongke Khan die?,Kublai convened a kurultai in Kaiping that elected him Great Khan.
2567,When was Richard Grainger actively building and developing?,"Established on classical streets built by Richard Grainger, a builder and developer, between 1835 and 1842, some of Newcastle upon Tyne's finest buildings and streets lie within this area of the city centre including Grainger Market, Theatre Royal, Grey Street, Grainger Street and Clayton Street."
109,What is the first major city in the course of the Rhine?,"In the centre of Basel, the first major city in the course of the stream, is located the ""Rhine knee""; this is a major bend, where the overall direction of the Rhine changes from West to North."
432,What does the Rhine merge with outside of Germany?,"From here, the situation becomes more complicated, as the Dutch name Rijn no longer coincides with the main flow of water."
3241,"When did delegates to the World Methodist Council vote to adopt the joint Declaration on the Doctrine of Justification?""","On July 18, 2006, delegates to the World Methodist Council voted unanimously to adopt the ""Joint Declaration on the Doctrine of Justification"", which was approved in 1999 by the Vatican and the Lutheran World Federation."
3904,When was Levi's Stadium picked for Super bowl 50?,"It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003."
3265,A mermaid stopped to rest on the sandy beach by what village?,"She stopped to rest on a sandy beach by the village of Warszowa, where fishermen came to admire her beauty and listen to her beautiful voice."
2822,What was Martin Parry's role in the IPCC?,"Former IPCC chairman Robert Watson has said ""The mistakes all appear to have gone in the direction of making it seem like climate change is more serious by overstating the impact."
2703,Which of Tesla's inventions was used in radio development?,Many devices such as the Tesla Coil were used in the further development of radio.
974,How much of Poland's national income does Warsaw produce?,"Warsaw, especially its city centre (Śródmieście), is home not only to many national institutions and government agencies, but also to many domestic and international companies."
3572,"What is ""The Gate""?","In recent years ""The Gate"" has opened in the city centre, a new indoor complex consisting of bars, upmarket clubs, restaurants and a 12-screen Empire multiplex cinema."
